2024-06-11T19:37:31.690+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/', GET] with []
2024-06-11T19:37:31.690+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/swagger-ui/', GET] with []
2024-06-11T19:37:31.690+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/v3/api-docs/', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/webjars/', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/.html', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='favicon.ico', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.html', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.css', GET] with []
2024-06-11T19:37:31.691+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.js', GET] with []
2024-06-11T19:37:31.884+02:00 | INFO | [Http11NioProtocol   ] | Starting ProtocolHandler ["https-jsse-nio-8443"]
2024-06-11T19:37:31.993+02:00 | INFO | [TomcatWebServer     ] | Tomcat started on port(s): 8443 (https) with context path ''
2024-06-11T19:37:32.424+02:00 | INFO | [SimpleBrokerMessageHandler] | Starting...
2024-06-11T19:37:32.424+02:00 | INFO | [SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4ea8832c]]
2024-06-11T19:37:32.424+02:00 | INFO | [SimpleBrokerMessageHandler] | Started.
2024-06-11T19:37:32.433+02:00 | INFO | [MarketingAcencyApplication] | Started MarketingAcencyApplication in 6.902 seconds (JVM running for 8.103)
2024-06-11T19:37:50.577+02:00 | INFO | [[/]                 ] | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-11T19:37:50.578+02:00 | INFO | [DispatcherServlet   ] | Initializing Servlet 'dispatcherServlet'
2024-06-11T19:37:50.579+02:00 | INFO | [DispatcherServlet   ] | Completed initialization in 1 ms
2024-06-11T19:37:50.689+02:00 | WARN | [UserService         ] | User with email djordjevic.ra37.2020@uns.ac.rs does not exist.
2024-06-11T19:37:50.818+02:00 | INFO | [ClientController    ] | User with email djordjevic.ra37.2020@uns.ac.rs successfully saved.
2024-06-11T19:37:54.785+02:00 | INFO | [ClientController    ] | Client with email djordjevic.ra37.2020@uns.ac.rs successfully sent registration request.
2024-06-11T19:38:17.353+02:00 | INFO | [SimpleBrokerMessageHandler] | Stopping...
2024-06-11T19:38:17.354+02:00 | INFO | [SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4ea8832c]]
2024-06-11T19:38:17.354+02:00 | INFO | [SimpleBrokerMessageHandler] | Stopped.
2024-06-11T19:38:17.371+02:00 | INFO | [LocalContainerEntityManagerFactoryBean] | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-11T19:38:17.371+02:00 | INFO | [SchemaDropperImpl$DelayedDropActionImpl] | HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2024-06-11T19:38:17.434+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Shutdown initiated...
2024-06-11T19:38:17.448+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Shutdown completed.
2024-06-11T19:38:50.495+02:00 | INFO | [Version             ] | HV000001: Hibernate Validator 6.1.0.Final
2024-06-11T19:38:50.558+02:00 | INFO | [MarketingAcencyApplication] | Starting MarketingAcencyApplication using Java 21.0.1 on DESKTOP-TRBJVSV with PID 16896 (C:\Users\38160\Desktop\Projekti 8.semestar\bezbednost-projekat2\bsep-ra-2024-kt2-tim-15\back-end\marketing-acency\marketing-acency\target\classes started by 38160 in C:\Users\38160\Desktop\Projekti 8.semestar\bezbednost-projekat2\bsep-ra-2024-kt2-tim-15\back-end\marketing-acency\marketing-acency)
2024-06-11T19:38:50.562+02:00 | INFO | [MarketingAcencyApplication] | No active profile set, falling back to default profiles: default
2024-06-11T19:38:51.994+02:00 | INFO | [RepositoryConfigurationDelegate] | Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-11T19:38:52.131+02:00 | INFO | [RepositoryConfigurationDelegate] | Finished Spring Data repository scanning in 128 ms. Found 12 JPA repository interfaces.
2024-06-11T19:38:52.604+02:00 | INFO | [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@68a305eb' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-06-11T19:38:52.616+02:00 | INFO | [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-06-11T19:38:52.901+02:00 | INFO | [TomcatWebServer     ] | Tomcat initialized with port(s): 8443 (https)
2024-06-11T19:38:52.910+02:00 | INFO | [Http11NioProtocol   ] | Initializing ProtocolHandler ["https-jsse-nio-8443"]
2024-06-11T19:38:52.910+02:00 | INFO | [StandardService     ] | Starting service [Tomcat]
2024-06-11T19:38:52.911+02:00 | INFO | [StandardEngine      ] | Starting Servlet engine: [Apache Tomcat/9.0.56]
2024-06-11T19:38:53.037+02:00 | INFO | [[/]                 ] | Initializing Spring embedded WebApplicationContext
2024-06-11T19:38:53.038+02:00 | INFO | [ServletWebServerApplicationContext] | Root WebApplicationContext: initialization completed in 2413 ms
2024-06-11T19:38:53.221+02:00 | INFO | [LogHelper           ] | HHH000204: Processing PersistenceUnitInfo [name: default]
2024-06-11T19:38:53.278+02:00 | INFO | [Version             ] | HHH000412: Hibernate ORM core version 5.4.33
2024-06-11T19:38:53.412+02:00 | INFO | [Version             ] | HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-06-11T19:38:53.525+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Starting...
2024-06-11T19:38:53.713+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Start completed.
2024-06-11T19:38:53.732+02:00 | INFO | [Dialect             ] | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2024-06-11T19:38:54.743+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.743+02:00 | WARN | [SqlExceptionHelper  ] | relation "administrator" does not exist, skipping
2024-06-11T19:38:54.744+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.744+02:00 | WARN | [SqlExceptionHelper  ] | relation "advertisement" does not exist, skipping
2024-06-11T19:38:54.745+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.745+02:00 | WARN | [SqlExceptionHelper  ] | relation "client" does not exist, skipping
2024-06-11T19:38:54.746+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.746+02:00 | WARN | [SqlExceptionHelper  ] | relation "client" does not exist, skipping
2024-06-11T19:38:54.746+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.746+02:00 | WARN | [SqlExceptionHelper  ] | relation "client_activation_token" does not exist, skipping
2024-06-11T19:38:54.747+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.747+02:00 | WARN | [SqlExceptionHelper  ] | relation "employee" does not exist, skipping
2024-06-11T19:38:54.748+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.748+02:00 | WARN | [SqlExceptionHelper  ] | relation "login_token" does not exist, skipping
2024-06-11T19:38:54.749+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.749+02:00 | WARN | [SqlExceptionHelper  ] | relation "refreshtoken" does not exist, skipping
2024-06-11T19:38:54.749+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.749+02:00 | WARN | [SqlExceptionHelper  ] | relation "roles_perms" does not exist, skipping
2024-06-11T19:38:54.750+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.750+02:00 | WARN | [SqlExceptionHelper  ] | relation "roles_perms" does not exist, skipping
2024-06-11T19:38:54.751+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.751+02:00 | WARN | [SqlExceptionHelper  ] | relation "user_role" does not exist, skipping
2024-06-11T19:38:54.751+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.752+02:00 | WARN | [SqlExceptionHelper  ] | relation "user_role" does not exist, skipping
2024-06-11T19:38:54.752+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.752+02:00 | WARN | [SqlExceptionHelper  ] | table "administrator" does not exist, skipping
2024-06-11T19:38:54.753+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.753+02:00 | WARN | [SqlExceptionHelper  ] | table "advertisement" does not exist, skipping
2024-06-11T19:38:54.754+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.754+02:00 | WARN | [SqlExceptionHelper  ] | table "client" does not exist, skipping
2024-06-11T19:38:54.754+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.754+02:00 | WARN | [SqlExceptionHelper  ] | table "client_activation_token" does not exist, skipping
2024-06-11T19:38:54.755+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.755+02:00 | WARN | [SqlExceptionHelper  ] | table "employee" does not exist, skipping
2024-06-11T19:38:54.756+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.756+02:00 | WARN | [SqlExceptionHelper  ] | table "login_token" does not exist, skipping
2024-06-11T19:38:54.756+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.756+02:00 | WARN | [SqlExceptionHelper  ] | table "package" does not exist, skipping
2024-06-11T19:38:54.757+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.757+02:00 | WARN | [SqlExceptionHelper  ] | table "permission" does not exist, skipping
2024-06-11T19:38:54.757+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.758+02:00 | WARN | [SqlExceptionHelper  ] | table "refreshtoken" does not exist, skipping
2024-06-11T19:38:54.758+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.758+02:00 | WARN | [SqlExceptionHelper  ] | table "rejection_note" does not exist, skipping
2024-06-11T19:38:54.759+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.759+02:00 | WARN | [SqlExceptionHelper  ] | table "role" does not exist, skipping
2024-06-11T19:38:54.760+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.760+02:00 | WARN | [SqlExceptionHelper  ] | table "roles_perms" does not exist, skipping
2024-06-11T19:38:54.761+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.761+02:00 | WARN | [SqlExceptionHelper  ] | table "user_role" does not exist, skipping
2024-06-11T19:38:54.761+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.761+02:00 | WARN | [SqlExceptionHelper  ] | table "users" does not exist, skipping
2024-06-11T19:38:54.762+02:00 | WARN | [SqlExceptionHelper  ] | SQL Warning Code: 0, SQLState: 00000
2024-06-11T19:38:54.762+02:00 | WARN | [SqlExceptionHelper  ] | sequence "hibernate_sequence" does not exist, skipping
2024-06-11T19:38:54.913+02:00 | INFO | [SchemaCreatorImpl   ] | HHH000476: Executing import script 'file:/C:/Users/38160/Desktop/Projekti%208.semestar/bezbednost-projekat2/bsep-ra-2024-kt2-tim-15/back-end/marketing-acency/marketing-acency/target/classes/import.sql'
2024-06-11T19:38:54.984+02:00 | INFO | [JtaPlatformInitiator] | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-06-11T19:38:54.996+02:00 | INFO | [LocalContainerEntityManagerFactoryBean] | Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-11T19:38:56.654+02:00 | WARN | [JpaBaseConfiguration$JpaWebConfiguration] | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-11T19:38:57.142+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@33e6176b, org.springframework.security.web.context.SecurityContextPersistenceFilter@3f1dadeb, org.springframework.security.web.header.HeaderWriterFilter@56e589e5, org.springframework.web.filter.CorsFilter@14ce13fa, org.springframework.security.web.authentication.logout.LogoutFilter@2e04dbc1, com.bsep.marketingacency.auth.TokenAuthenticationFilter@296ddfc7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5e81b406, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3ff83cc8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29aa29f5, org.springframework.security.web.session.SessionManagementFilter@16575bfe, org.springframework.security.web.access.ExceptionTranslationFilter@4c954b79, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@f61f06e]
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/auth/login', POST] with []
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/', GET] with []
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/swagger-ui/', GET] with []
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/v3/api-docs/', GET] with []
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/webjars/', GET] with []
2024-06-11T19:38:57.159+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='/.html', GET] with []
2024-06-11T19:38:57.160+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='favicon.ico', GET] with []
2024-06-11T19:38:57.160+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.html', GET] with []
2024-06-11T19:38:57.160+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.css', GET] with []
2024-06-11T19:38:57.160+02:00 | INFO | [DefaultSecurityFilterChain] | Will secure Ant [pattern='//.js', GET] with []
2024-06-11T19:38:57.351+02:00 | INFO | [Http11NioProtocol   ] | Starting ProtocolHandler ["https-jsse-nio-8443"]
2024-06-11T19:38:57.457+02:00 | INFO | [TomcatWebServer     ] | Tomcat started on port(s): 8443 (https) with context path ''
2024-06-11T19:38:57.936+02:00 | INFO | [SimpleBrokerMessageHandler] | Starting...
2024-06-11T19:38:57.937+02:00 | INFO | [SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@e8c381e]]
2024-06-11T19:38:57.937+02:00 | INFO | [SimpleBrokerMessageHandler] | Started.
2024-06-11T19:38:57.954+02:00 | INFO | [MarketingAcencyApplication] | Started MarketingAcencyApplication in 7.908 seconds (JVM running for 9.812)
2024-06-11T19:39:09.700+02:00 | INFO | [[/]                 ] | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-11T19:39:09.701+02:00 | INFO | [DispatcherServlet   ] | Initializing Servlet 'dispatcherServlet'
2024-06-11T19:39:09.702+02:00 | INFO | [DispatcherServlet   ] | Completed initialization in 1 ms
2024-06-11T19:39:09.814+02:00 | WARN | [UserService         ] | User with email djordjevic.ra37.2020@uns.ac.rs does not exist.
2024-06-11T19:39:09.941+02:00 | INFO | [ClientController    ] | User with email djordjevic.ra37.2020@uns.ac.rs successfully saved.
2024-06-11T19:39:13.631+02:00 | INFO | [ClientController    ] | Client with email djordjevic.ra37.2020@uns.ac.rs successfully sent registration request.
2024-06-11T19:39:34.620+02:00 | WARN | [UserService         ] | User with email djordjevic.ra37.2021@uns.ac.rs does not exist.
2024-06-11T19:39:34.699+02:00 | INFO | [ClientController    ] | User with email djordjevic.ra37.2021@uns.ac.rs successfully saved.
2024-06-11T19:39:38.183+02:00 | INFO | [ClientController    ] | Client with email djordjevic.ra37.2021@uns.ac.rs successfully sent registration request.
2024-06-11T19:39:57.197+02:00 | INFO | [WebSocketMessageBrokerStats] | WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 8, active threads = 1, queued tasks = 1, completed tasks = 9]
2024-06-11T19:40:02.339+02:00 | INFO | [SimpleBrokerMessageHandler] | Stopping...
2024-06-11T19:40:02.339+02:00 | INFO | [SimpleBrokerMessageHandler] | BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@e8c381e]]
2024-06-11T19:40:02.339+02:00 | INFO | [SimpleBrokerMessageHandler] | Stopped.
2024-06-11T19:40:02.356+02:00 | INFO | [LocalContainerEntityManagerFactoryBean] | Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-11T19:40:02.356+02:00 | INFO | [SchemaDropperImpl$DelayedDropActionImpl] | HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2024-06-11T19:40:02.416+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Shutdown initiated...
2024-06-11T19:40:02.420+02:00 | INFO | [HikariDataSource    ] | HikariPool-1 - Shutdown completed.
